"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","418","test_successful_login","tests","2026-03-20","passed","2026-03-20","","test_login","",""
"","26","test_dashboard_title","tests","2026-03-20","passed","2026-03-20","","test_dashboard","",""
